;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
8023;trece ca gâsca prin apă;Expresie;0;1;1;0;0;0;0;1;0;0;DEX
8024;pica fisa;Expresie;1;0;0;0;0;0;0;0;1;0;DEX
8025;sta mintea în loc;Expresie;0;1;0;0;0;0;0;0;1;0;DEX
8026;veni inima la loc;Expresie;1;0;0;0;0;0;0;0;0;0;DEX
8027;afla locul;Expresie;1;0;0;1;0;0;0;0;0;0;DEX
8028;urechi de cârpă;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8029;face cârpă de șters pe jos;Expresie;0;1;1;0;1;0;0;0;0;0;DEX
8030;strânge cureaua;Expresie;0;1;0;1;0;0;0;1;0;0;DEX
8031;strânge de gât;Expresie;0;1;1;0;0;1;0;0;0;0;DEX
8032;călca în piatră seacă;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8033;avea o piatră pe inimă;Expresie;0;1;0;1;0;1;0;1;0;0;DEX
8034;sta o piatră pe inimă;Expresie;0;1;0;1;0;1;0;1;0;0;DEX
8035;pune o piatră pe inimă;Expresie;0;1;0;1;0;1;0;1;0;0;DEX
8036;arunca cu piatra;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8037;vorbe în vânt;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8038;vorbe goale;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8039;pune o vorbă bună;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8040;lungi vorba;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8041;întinde vorba;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8042;întrece cu vorba;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8043;tăia vorba;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8044;reteza vorba;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8045;înțepat la vorbă;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8046;zile negre;Expresie;0;1;0;1;0;1;0;1;0;0;OTHER
8047;negru pe alb;Expresie;0;0;0;0;0;0;0;0;0;1;DEX
8048;sărăcie neagră;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8049;face negru la față;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8050;suflet negru;Expresie;0;1;0;0;1;1;0;1;0;0;DEX
8051;face albul negru și negrul alb;Expresie;0;1;1;0;0;0;0;0;1;0;DEX
8052;negru înaintea ochilor;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8053;vedea totul în negru;Expresie;0;1;0;1;0;0;0;1;0;0;DEX
8054;zugrăvi totul în negru;Expresie;0;1;0;1;0;0;0;1;0;0;DEX
8055;pune pe numele cuiva;Expresie;0;0;0;0;0;0;0;0;0;1;DEX
8056;pune ochii pe;Expresie;0;0;0;1;0;0;0;0;0;0;DEX
8057;pune sânge rău la inimă;Expresie;0;1;1;0;0;0;0;1;0;0;DEX
8058;pune capul pentru cineva;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8059;pune la zid;Expresie;0;1;1;0;1;1;0;1;0;0;DEX
8060;pune capăt zilelor;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8061;pune cu gura pe;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8062;pune mână de la mână;Expresie;1;0;0;1;0;0;0;0;0;1;DEX
8063;pune pe gânduri;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8064;pune în valoare;Expresie;1;0;0;0;0;0;0;0;0;0;DEX
8065;trage la sorți;Expresie;0;0;0;0;0;0;0;0;1;0;DEX
8066;tras de păr;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8067;trage țărână;Expresie;0;0;0;0;0;0;0;1;0;0;DEX
8068;trage pe sfoară;Expresie;0;1;1;0;0;0;0;0;1;0;DEX
8069;trage piciorul;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8070;trage o spaimă;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8071;trage la măsea;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8072;trage chiulul;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8073;face capul calendar;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8074;pe nepusă masă;Expresie;0;0;0;0;0;0;0;0;1;0;DEX
8075;duce pe copcă;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8076;da ortul popii;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8077;da colțul;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8078;lipsi o doagă;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8079;ajunge în sapă de lemn;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8080;ascunde după deget;Expresie;0;1;1;0;1;0;0;0;0;0;DEX
8081;scoate din pepeni;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8082;sări muștarul;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8083;împroșca cu noroi;Expresie;0;1;1;0;1;0;0;1;0;0;DEX
8084;azvârli cu noroi în;Expresie;0;1;1;0;1;0;0;1;0;0;DEX
8085;coate-goale;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8086;colac peste pupăză;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8087;dus cu pluta;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8088;dus cu sorcova;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8089;ca pâinea lui Dumnezeu;Expresie;0;1;0;0;0;0;1;0;1;0;DEX
8090;cu fruntea sus;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8091;privi fără țintă;Expresie;0;1;0;0;0;0;0;1;0;0;DEX
8125;atac de panică;Expresie;0;1;0;1;0;1;0;0;0;0;ENG30-07521437-n
8126;atac de panică;Expresie;0;1;0;1;0;1;0;0;0;0;ENG30-14381249-n
8157;băga în ceață;Expresie;0;1;0;0;0;0;0;0;1;0;ENG30-00620673-v
8159;bun la inimă;Expresie;1;0;0;0;0;0;1;0;0;1;DEX
8162;căldură sufletească;Expresie;1;0;0;0;0;0;1;0;0;1;ENG30-07546279-n
8164;calea războiului;Expresie;0;1;1;1;0;1;0;1;0;0;
8185;cu inima grea;Expresie;0;1;0;0;0;0;0;1;0;0;
8193;de calitate proastă;Expresie;0;1;1;0;0;0;0;1;0;0;
8197;demn de invidiat;Expresie;1;1;0;0;0;0;0;0;0;0;
8213;dezgust de viaţă;Expresie;0;1;1;0;1;0;0;1;0;0;
8224;dragoste nebună;Expresie;1;1;0;0;0;0;1;0;0;1;
8235;călca pe nervi;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-01790538-v
8257;face haz;Expresie;1;0;0;0;0;0;1;0;0;0;ENG30-00855295-v
8258;fără chef;Expresie;0;1;0;1;1;0;0;1;0;0;
